Sentences,Subject,Object,Verb,tense
	අහං චන්‍දං පස‍්සාමි 	,	අහං	,	චන්‍දං	,	පස‍්සාමි	,Present
	සිස‍්සො භත‍්තං භුඤ‍්ජති 	,	සිස‍්සො	,	භත‍්තං	,	භුඤ‍්ජති	,Present
	ආචාරියො අක‍්ඛරං ලිඛති  	,	ආචාරියො	,	අක‍්ඛරං	,	ලිඛති 	,Present
	මිත‍්තො ගාමං ගච‍්ඡති 	,	මිත‍්තො	,	ගාමං	,	ගච‍්ඡති	,Present
	අස‍්සො නගරං ධාවති 	,	අස‍්සො	,	නගරං	,	ධාවති	,Present
	බුද‍්ධො තිට‍්ඨති	,	බුද‍්ධො	,		,	තිට‍්ඨති	,Present
	මිගා ධාවන‍්ති	,	මිගා 	,		,	 ධාවන‍්ති	,Present
	සීහා සයන‍්ති	,	සීහා 	,		,	සයන‍්ති	,Present
	පුරිසො ගච‍්ඡති	,	පුරිසො 	,		,	ගච‍්ඡති	,Present
	රජකා ධොවන‍්ති	,	රජකා 	,		,	 ධොවන‍්ති	,Present
	කස‍්සකා කසන‍්ති	,	කස‍්සකා 	,		,	 කසන‍්ති	,Present
	ලෙඛකො ලිඛති	,	ලෙඛකො 	,		,	 ලිඛති	,Present
	දාසො චරති 	,	දාසො 	,		,	 චරති 	,Present
	මඤ‍්චෙසු සයන‍්ති	,	මඤ‍්චෙසු 	,		,	 සයන‍්ති	,Present
	දීපෙ ජාලෙන‍්ති	,	දීපෙ 	,		,	 ජාලෙන‍්ති	,Present
	රුක‍්ඛෙ ආරුහන‍්ති	,	රුක‍්ඛෙ 	,		,	 ආරුහන‍්ති	,Present
	වරාහො ඛණති	,	වරාහො 	,		,	 ඛණති	,Present
	සුනඛා භුඤ‍්ජන‍්ති	,	සුනඛා 	,		,	 භුඤ‍්ජන‍්ති	,Present
	අස‍්සො ධාවති	,	අස‍්සො 	,		,	 ධාවති	,Present
	අජා සයන‍්ති	,	අජා 	,		,	 සයන‍්ති	,Present
	කම‍්මකාරා ආහරන‍්ති	,	කම‍්මකාරා	,		,	 ආහරන‍්ති	,Present
	වාණිජා නිසීදන‍්ති	,	වාණිජා 	,		,	 නිසීදන‍්ති	,Present
	ගොපාලො භුඤ‍්ජති	,	ගොපාලො 	,		,	 භුඤ‍්ජති	,Present
	ගොණා ඛාදන‍්ති	,	ගොණා 	,		,	 ඛාදන‍්ති	,Present
	වානරො රුක‍්ඛං ආරුහති	,	වානරො 	,	 රුක‍්ඛං	,	 ආරුහති	,Present
	මනුස‍්සා පුරිසං පසසනති	,	මනුස‍්සා 	,	 පුරිසං 	,	 පසසනති	,Present
	ගොණා පාසාණෙ තිට‍්ඨන‍්ති	,	ගොණා 	,	 පාසාණෙ 	,	 තිට‍්ඨන‍්ති	,Present
	වාණිජො ගාමෙ චරති	,	වාණිජො 	,	 ගාමෙ	,	 චරති	,Present
	සකුණො රුක‍්ඛෙ නිසීදති	,	සකුණො 	,	 රුක‍්ඛෙ 	,	 නිසීදති	,Present
	බුද‍්ධෙ ධම‍්මං භාසති	,	බුද‍්ධෙ 	,	 ධම‍්මං	,	 භාසති	,Present
	අහං දීපං ආහරාමි	,	අහං 	,	 දීපං	,	 ආහරාමි	,Present
	සෙතුං කත‍්තා ගාමම‍්හා වෙළවො ආහරි	,	සෙතුං	,	ගාමම‍්හා	,	ආහරි	,Present
	මයං ගොණෙ හරාම	,	මයං 	,	 ගොණෙ	,	 හරාම	,Present
	සංඝො ගාමං ගච‍්ඡති	,	සංඝො 	,	 ගාමං 	,	 ගච‍්ඡති	,Present
	ත්‍වං සීහං පස‍්සසි	,	ත්‍වං 	,	 සීහං 	,	 පස‍්සසි	,Present
	භූපාලා අස‍්සෙ ආරුහන‍්ති	,	භූපාලා 	,	 අස‍්සෙ 	,	 ආරුහන‍්ති	,Present
	දෙවා ආකාසෙන ගච‍්ඡන‍්ති	,	දෙවා 	,	 ආකාසෙන 	,	 ගච‍්ඡන‍්ති	,Present
	අහයො ආඛවො භුඤ‍්ජන‍්ති	,	අහයො 	,	 ආඛවො 	,	 භුඤ‍්ජන‍්ති	,Present
	හිමවති සීහා ච ඉසිනො ච සදා වසන‍්ති	,	හිමවති සීහා ච ඉසිනො ච	,	සදා	,	වසන‍්ති	,Present
	අස‍්සා දීපෙසු ධාවන‍්ති	,	අස‍්සා 	,	 දීපෙසු 	,	 ධාවන‍්ති	,Present
	ත්‍වං පාදෙහි චරසි	,	ත්‍වං 	,	 පාදෙහි 	,	 චරසි	,Present
	තුම‍්හෙ හත්‍ථෙහි භරථ	,	තුම‍්හෙ 	,	 හත්‍ථෙහි	,	 භරථ	,Present
	මයං ලොකෙ වසාම	,	මයං 	,	 ලොකෙ 	,	 වසාම	,Present
	පුත‍්තො ධම‍්මං උග‍්ගණ‍්හාති	,	පුත‍්තො	,	 ධම‍්මං 	,	 උග‍්ගණ‍්හාති	,Present
	මිත‍්තා සීහෙ ඔලොකෙන‍්ති	,	මිත‍්තා 	,	 සීහෙ 	,	 ඔලොකෙන‍්ති	,Present
	චොරා අස‍්සෙ ගණ‍්හන‍්ති	,	චොරා 	,	 අස‍්සෙ 	,	 ගණ‍්හන‍්ති	,Present
	මනුස‍්සා සකුණෙ කිණන‍්ති	,	මනුස‍්සා 	,	 සකුණෙ 	,	 කිණන‍්ති	,Present
	ගොපාලො ගොණෙ වීක‍්කිණාති 	,	ගොපාලො 	,	 ගොණෙ 	,	 වීක‍්කිණාති 	,Present
	බුද‍්ධො ධම‍්මං දෙසෙති	,	බුද‍්ධො 	,	 ධම‍්මං 	,	 දෙසෙති	,Present
	සීහො මිගෙ මාරෙති	,	සීහො 	,	 මිගෙ 	,	 මාරෙති	,Present
	තුම‍්හෙ පසවො වා පක‍්ඛි වා  මාරෙථ	,	තුම‍්හෙ	,	පසවො වා පක‍්ඛි වා	,	මාරෙථ	,Present
	වාණිජස‍්ස පුත‍්තා අජෙ වික‍්කිණන‍්ති	,	වාණිජස‍්ස පුත‍්තා	,	අජෙ	,	වික‍්කිණන‍්ති	,Present
	මයං වාණිජ මහාඤ‍්චෙ කිණාම	,	මයං	,	වාණිජ මහාඤ‍්චෙ	,	කිණාම	,Present
	ලෙඛකො මිත‍්තෙන මග‍්ගෙ ගච‍්ඡති	,	ලෙඛකො	,	මිත‍්තෙන	,	ගච‍්ඡති	,Present
	දාසා මිත‍්තානං සුනඛෙ හරන‍්ති	,	දාසා	,	සුනඛෙ	,	හරන‍්ති	,Present
	කාකා ආකාසෙ උඩ‍්ඩෙන‍්ති	,	කාකා	,	 ආකාසෙ 	,	 උඩ‍්ඩෙන‍්ති	,Present
	අහං බුද‍්ධං පූජෙමි	,	අහං 	,	 බුද‍්ධං 	,	 පූජෙමි	,Present
	ත්‍වංදීපං ජාලෙහි	,	ත්‍වං	,	දීපං	,	ජාලෙහි	,Present
	මයං ධම‍්මං ජානාම	,	මයං 	,	 ධම‍්මං 	,	 ජානාම	,Present
	දාසෙ මග‍්ගෙ කස‍්සකං ඔලොකෙති	,	දාසෙ	,	කස‍්සකං	,	ඔලොකෙති	,Present
	තුම‍්හෙ බුද‍්ධස‍්ස ධම‍්මං සුණාථ	,	තුම‍්හෙ	,	බුද‍්ධස‍්ස ධම‍්මං	,	සුණාථ	,Present
	චොරා මනුස‍්සානං අස‍්සෙ චොරෙන‍්ති	,	චොරා 	,	මනුස‍්සානං	,	චොරෙන‍්ති	,Present
	පුරිසො හත්‍ථෙන දීපං ගණ‍්හාති	,	පුරිසො	,	දීපං	,	ගණ‍්හාති	,Present
	චන්‍දො පබ‍්බතා උදෙති	,	චන්‍දො	,		,	උදෙති	,Present
	භගවන‍්තො සබ‍්බඤ‍්ඤුනො භවන‍්ති	,	භගවන‍්තො	,		,	භවන‍්ති	,Present
	පුඤ‍්ඤාවතො නත‍්තා බන්‍ධුමා භවි	,	පුඤ‍්ඤාවතො	,		,	භවි	,Present
	අහං හිමවන‍්තම‍්හි ඵලවන‍්තෙ රුක‍්ඛෙ පස‍්සි	,	අහං	,	රුක‍්ඛෙ	,	පස‍්සි	,Present
	යසවතං භාතරො බලවන‍්තො භවන‍්ති	,	යසවතං	,		,	භවන‍්ති	,Present
	පුඤ‍්ඤවන‍්තො එකදා මණයො ලභන‍්ති	,	පුඤ‍්ඤවන‍්තො	,	මණයො	,	ලභන‍්ති	,Present
	බුද‍්ධිමන‍්තො අම‍්හාකං සත්‍ථාරං වන්‍දන‍්ති	,	බුද‍්ධිමන‍්තො	,	අම‍්හාකං සත්‍ථාරං	,	වන්‍දන‍්ති	,Present
	පුරිසො හාමං ගච‍්ඡති	,	පුරිසො 	,	 හාමං 	,	 ගච‍්ඡති	,Present
	බාලකා අක‍්ඛරානි ලිබන‍්ති	,	බාලකා 	,	 අක‍්ඛරානි 	,	 ලිබන‍්ති	,Present
	ත්‍වං නගරං ගච‍්ඡයි	,	ත්‍වං 	,	 නගරං 	,	 ගච‍්ඡයි	,Present
	තුම‍්හෙ පරිවෙණං ගවට	,	තුම‍්හෙ 	,	 පරිවෙණං	,	 ගවට	,Present
	අහං ධම‍්මං සුණාමි	,	අහං 	,	 ධම‍්මං 	,	 සුණාමි	,Present
	මයං සුරියං වන්‍දාමි	,	මයං 	,	 සුරියං 	,	 වන්‍දාමි	,Present
	මනුස‍්සො ගාමං ගච‍්ඡති	,	මනුස‍්සො 	,	 ගාමං 	,	 ගච‍්ඡති	,Present
